Code	Short	Wolbachia	Spp	Perc_Dsim	CC	Country	Loc	Date	Year	Month	Day	Lat	Lon	Alt	Season	Flies	Kallithea_virus	Esparto_virus	Viltain_virus	Linvill_Road_virus	Tomelloso_virus	Mauternbach_virus	Yalta_virus	Drosophila-associated_Adintovirus_1	Drosophila-associated_Adintovirus_2	Drosophila-associated_Adintovirus_3	Filamentous_virus	Hytrosa_virus	Nudivirus_Kaniv	Vesanto_virus	Vesanto_S01	Vesanto_S02	Vesanto_S03	Vesanto_S04	Vesanto_S05	Vesanto_S06	Vesanto_S07	Vesanto_S08	Vesanto_S09	Vesanto_S10	Vesanto_S11	Vesanto_S12	Relative_Galbut																	
PO_Brz_15_12	2015_12	0.930381292	Dmel	0	PO	Poland	Brz	2015/09/28	Y2015	9	28	54.27342	19.620169	97.7	S	40	0.010560092	8.70E-06	0	0.006539063	0	1.03E-05	0	0	0	0	0	0	0	11.12053088	2.88975825	3.218432732	6.353299856	2.628148889	11.12053088	3.208491732	1.498403835	1.728369406	0.03211906	6.422168007	0.614196254	0.004724163	0.039730043																	
BY_Bre_15_13	2015_13	1.436190299	Dser	0	BY	Belarus	Bre	2015/09/11	Y2015	9	11	52.142193	23.662434	138.4	S	40	0.009894555	0	0	0.007426995	0	1.12E-05	0	0	0	0	0	0	0	0.078364325	0.007099526	0.02150312	0.046425473	0.009804329	0.078364325	0.021889092	0.005383438	0.011822118	0.008386315	0.031178038	0.004397776	0.002555072	0.072650129																	
SE_Lun_15_14	2015_14	0.661466249	Dmel	0	SE	Sweden	Lun	2015/08/24	Y2015	8	24	55.694	13.198	28.2	S	40	0.007709571	8.00E-06	0	0	0	4.75E-05	0	0.000402753	0	0	0	0	0	0.015247302	0.000502992	0.002996984	0.006025983	0.001602977	0.015247302	0.00206775	0.001408281	0.006820303	0.010864623	0.007775405	0	0.000868912	0																	
SE_Lun_15_15	2015_15	1.461492794	Dmel	0	SE	Sweden	Lun	2015/08/08	Y2015	8	8	55.694	13.198	28.2	S	40	0.004071761	5.13E-05	0	0.001284861	0.000585977	2.03E-05	0	0	0	0	0	0	0	0.036118089	0.00752278	0.004802476	0.014162502	0.004109869	0.036118089	0.006626875	0.001504453	0.003451294	0	0.027939684	0.001711822	0	0																	
PT_Rec_15_16	2015_16	6.1075477	Dsim	0.623013609	PT	Portugal	Rec	2015/09/01	Y2015	9	1	41.15	-8.41	97	S	40	12.50969941	2.74E-05	0	6.973765789	0	0.000162424	0	0	0	0	1.45E-05	0	0	0.047342882	0.007313292	0.007689689	0.031180731	0.010419431	0.047342882	0.013853124	0.002408919	0.013201449	0.017713223	0.02025248	0.004568262	0.001857886	0																	
UK_She_15_17	2015_17	0.858024798	Dmel	0.001197487	UK	United Kingdom	She	2015/10/04	Y2015	10	4	53.391	-1.521	102.4	F	40	0.012503232	0	0	0	0	0	0	0.000381059	0	0	0	0	0	0.012544381	0	0.002268447	0.006271546	0.000606655	0.012544381	0.00130425	0.002664853	0.002717028	0.012528048	0.005350254	0	0.001644221	0																	
UA_Var_15_18	2015_18	0.583547738	Dmel	0	UA	Ukraine	Var	2015/08/25	Y2015	8	25	50.48469444	32.71425	130.7	S	40	0.009062055	3.77E-05	0	0.004960402	0	2.24E-05	0	0	0	0	0	0	0	0.026169305	0.0026672	0.003531561	0.006035719	0.004533366	0.026169305	0.001624385	0.000829739	0.002537953	0.016403283	0.013327005	0.00125881	0	0.022552556																	
UA_Kha_15_19	2015_19	1.026619312	Dmel	0	UA	Ukraine	Kha	2015/08/20	Y2015	8	20	49.81852778	36.05475	104.3	S	40	2.033813374	8.69E-05	0	0.001360853	0	0	0	0	0	0	6.14E-05	0	0	18.25673211	2.795071915	2.936342366	4.159126665	4.182888538	18.25673211	1.889152946	0.157431109	3.407824251	10.09780625	9.089108675	1.152384733	0	0.003149817																	
UA_Ode_15_20	2015_20	1.763896664	Dmel	0	UA	Ukraine	Ode	2015/06/30	Y2015	6	30	46.44155556	30.77169444	11.1	S	40	0.00464851	7.79E-05	0	0.000731581	0.000222431	1.16E-05	0	0	0	0	0	0	0	0.036694599	0.006730994	0.008750267	0.01869363	0.002340099	0.036694599	0.005869491	0.000856613	0.001310077	0	0.031386927	0.001299581	0	0																	
UA_Pir_15_21	2015_21	1.450438612	Dmel	0	UA	Ukraine	Pir	2015/08/26	Y2015	8	26	50.25375	32.51880556	98.3	S	40	0.009451274	6.90E-05	0	0.001852299	0.000627539	1.17E-05	0	0	0	0	0	0	0	6.709353123	0.594001297	0.680155879	2.897377834	0.938508334	6.709353123	0.819480239	0.489297086	0.728413577	0	0.03744839	0.002632342	0	0																	
UA_Ode_15_22	2015_22	1.922241035	Dsim	0.048282868	UA	Ukraine	Ode	2015/08/27	Y2015	8	27	46.44155556	30.77169444	11.1	S	40	1.280343114	1.95E-05	0	0.004032657	0	2.32E-05	0	0	0	0	4.14E-05	0	0	0.020610919	0.001839815	0.001461627	0.005510375	0.002345312	0.020610919	0.0050422	0.000858522	0.005689648	0.004967501	0.008618315	0.001302477	0	0																	
UA_Yal_15_23	2015_23	2.531138344	Dmel	0.002465941	UA	Ukraine	Yal	2015/06/24	Y2015	6	24	44.5015	34.16611944	47.3	S	40	0.02116518	0.001375795	0	0	0	1.26E-05	0	0.000931984	0	0	0	0	0	0.028283769	0.001995328	0.003566638	0.012350701	0.006782806	0.020599898	0.005468398	0.000465545	0.003797275	0.028283769	0.015889539	0.005297137	0.002872421	0.005751656																	
UA_Cho_15_24	2015_24	1.026568089	Dmel	0	UA	Ukraine	Cho	2015/08/20	Y2015	8	20	51.279245	30.213118	118.6	S	40	0.008972867	1.98E-05	0	0	0	0	0	0.000248654	0	0	0	0	0	3.348738729	0.25371118	0.518082754	1.63732866	0.75530496	3.348738729	0.634044462	0.262139889	0.416643447	2.96646441	2.804320775	1.043376404	0.001072908	0																	
